ID_Muestra,Sitio_Proyecto,Grava_pct,Arena_pct,Limo_pct,Arcilla_pct,Humedad_pct,Limite_Liquido,Indice_Plasticidad,Capacidad_Carga_kNm2,Cohesion_kPa,Angulo_Friccion_deg,pH_Suelo,Sulfatos_ppm,Prof_Nivel_Freatico_m,Clasificacion_Target
1,Rosario,"14,98","19,26","11,54","54,22","28,35","54,75","5,68","198,44","73,8","28,77","8,33","173,06","10,87",No Apto
2,Tucumán,"38,03","37,1","11,17","13,7","10,12","27,59","39,05","326,32","27,17","38,74","6,51","682,99","1,5",No Apto
3,Salta,"29,28","53,65","27,66",5,"18,42","41,96","12,75","324,42","16,7","41,95","6,37","1361,87","5,3",Apto
4,San Juan,"23,95","46,61","11,24","18,2","11,31","48,77","33,2","289,02","32,79","38,77","8,14","707,67","4,6",No Apto
5,Misiones,"6,24","50,33","11,8","31,63","25,69","51,63","7,04","225,62","42,03","36,35","7,7","400,22","8,55",Apto
6,San Juan,"6,24","42,94","23,98","26,84","31,32","43,72","37,24","210,84","43,19","34,13","6,47","598,63","11,09",No Apto
7,Misiones,"2,32","44,61","16,24","36,82","13,71","26,34","35,6","198,5","51,98","33,85","6,67","942,27","8,23",No Apto
8,Rosario,"34,65","52,46","24,42",5,"7,46","28,05","24,99","343,52","21,2","42,67",8,977,14,Apto
9,Córdoba Capital,"24,04","22,48","6,63","46,84","13,95","15,83","5,31","241,12","66,87","31,55","7,13","1576,85","14,3",Apto
10,Misiones,"28,32","34,47","17,19","20,02","25,17","45,44","14,02","282,22","38,2",36,"7,68","1512,8","5,74",Apto
11,Rosario,"0,82","21,06","5,84","72,28","14,86","16,71","19,24","145,4","95,23","26,48","6,8","940,79","11,78",No Apto
12,Rosario,"38,8","59,38","6,57",5,"13,34","49,59","21,1","373,96","14,67",45,"6,95","1699,05","11,21",Apto
13,Córdoba Capital,"33,3","57,2","27,66",5,"10,53","19,75","15,42","347,6","23,47","43,82","8,48","272,76","13,45",Apto
14,Mendoza,"8,49","11,97","8,48","71,05","19,93","21,88","6,15","157,9","97,44","25,29","6,62","547,94",7,No Apto
15,San Juan,"7,27","45,28","18,31","29,14","13,28","34,06","25,65","219,64","41,4","35,04","7,27","1664,55","8,19",No Apto
16,Buenos Aires (CABA),"7,34","56,26","15,28","21,12","26,93","44,52","23,35","241,88","39,83","38,35","8,11","787,09","6,53",Apto
17,Buenos Aires (CABA),"12,17","19,03","13,68","55,12","7,3","20,56","14,91","186,74","73,48","28,14","6,6","1963,3","12,83",No Apto
18,Salta,"20,99","38,4","27,5","13,12","24,92","32,6","6,33","260,76","26,87","35,72","7,04","959,19","3,83",Apto
19,Salta,"17,28","55,77","5,55","21,4","12,13","34,31","39,81","280,66","44,86","40,19","7,54","1594,27","3,98",No Apto
20,Buenos Aires (CABA),"11,65","11,7","21,59","55,06","19,68","23,49","21,87",170,"68,92","25,84","7,2","834,5","5,9",No Apto
21,Neuquén,"24,47","44,87","29,08",5,"13,58","19,62","31,46","287,62","15,12","38,35","7,15","878,66","3,84",No Apto
22,Buenos Aires (CABA),"5,58","24,87",19,"50,55","26,68","48,46","20,83","172,06","72,7","28,58","6,91","796,62","8,63",No Apto
23,Salta,"11,69","56,22","28,42",5,"33,36","35,1","6,51","259,2","19,82","39,2","7,47","1452,2","2,45",Apto
24,Tucumán,"14,65","58,55","6,31","20,49","32,51","15,58","15,84","275,7","28,38","40,49","7,56","1117,66","5,14",Apto
25,Salta,"18,24","57,21","15,47","9,07","22,5","47,12","16,2","287,38","13,21","40,81","7,63","1890,37","13,74",Apto
26,Neuquén,"31,41","33,71","11,5","23,38","18,88","54,23","34,34","293,06","43,51","36,39","6,18","539,24","6,43",No Apto
27,San Juan,"7,99","53,1","23,27","15,64","29,55","39,24","27,9","238,16","25,17","37,53","7,58","246,1","11,35",No Apto
28,Buenos Aires (CABA),"20,57","52,23","29,53",5,"25,5","35,15","14,64","286,74","12,19","39,78","8,38","816,86","2,15",Apto
29,Córdoba Capital,"23,7","25,96","11,41","38,94","10,51","50,14","38,87","246,72","64,48","32,53","7,35","1252,59","4,09",No Apto
30,Tucumán,"1,86","51,45","21,35","25,34","29,63","53,1","16,25","210,34","40,76","35,81","7,79","1728,56","12,21",No Apto
31,Rosario,"24,3","11,85","9,95","53,9","17,87","45,18","39,94","220,9","75,06","28,42","7,39","725,08","11,56",No Apto
32,Neuquén,"6,82","39,81","19,13","34,23","10,67","32,82","39,87","206,9","50,18","33,31","8,14","1324,88","6,1",No Apto
33,Salta,"2,6","21,5","16,6","59,3","13,45","38,69","11,69","153,4","75,04","26,97","8,32","732,89","14,34",No Apto
34,Córdoba Capital,"37,96","16,03","29,3","16,72","13,03","43,04","15,95","283,9","33,44","32,4","6,46","1253,58","13,7",Apto
35,Misiones,"38,63","13,85","20,21","27,31","20,58","22,77","22,01","282,22","44,82","31,88","7,09","1775,38","14,45",Apto
36,Mendoza,"32,34","44,81","13,74","9,11","12,03","32,89","28,24","318,98","21,78","39,91","6,98","501,15","6,7",No Apto
37,Buenos Aires (CABA),"12,18","26,99","7,85","52,97","8,71","48,19","23,48","202,7","72,98","30,53","7,01","838,27","3,36",No Apto
38,Mendoza,"3,91","46,24","8,78","41,07","8,71","41,19","38,93","208,12","57,82","34,65","6,31","1986,87","9,59",No Apto
39,Neuquén,"27,37","13,27","10,63","48,73","22,5","31,45","30,34","236,02","73,04","29,46","8,03","1743,69","10,43",No Apto
40,Misiones,"17,61","25,76","11,27","45,36","27,04","41,53","12,42","221,96","63,73","31,25","6,09","1151,05","2,32",Apto
41,Misiones,"4,88","36,97","26,27","31,88","14,65","19,73","8,68","193,46","47,94","32,07","7,32","1057,42","11,9",No Apto
42,Misiones,"19,81","49,54","19,03","11,63","6,04","31,06","29,09","278,32","26,61","38,82","7,65","604,97","0,76",No Apto
43,Rosario,"1,38","25,94","18,08","54,6","8,82","46,73","10,55","157,4","76,56","28,06","6,52","1058,56","7,5",No Apto
44,Neuquén,"36,37","41,29","7,87","14,46","32,44","23,82","32,57","328,06","35,56","39,66","8,26","1703,95","5,3",No Apto
45,San Juan,"10,35","54,3","26,5","8,85","19,81","22,44","15,89",250,"11,81","38,36","8,1","1386,09","11,23",Apto
46,Mendoza,"26,5","40,79","23,07","9,64","18,61","53,03","16,44","287,58","23,07","37,54","7,18","615,59","5,04",Apto
47,San Juan,"12,47","21,65","6,69","59,19","6,14","23,4","5,38","193,18","77,5","28,99","7,03","442,85","12,49",No Apto
48,Córdoba Capital,"20,8","11,22","22,7","45,28","26,86","25,44","29,54","205,64","59,63","27,53","6,59","567,16","9,13",No Apto
49,Chubut,"21,87","53,5","18,59","6,04","20,84","53,78","8,96","294,48","14,96","40,42","7,82","381,03","12,01",Apto
50,Tucumán,"7,39","11,06","7,04","74,5","11,06","44,39","32,05","151,68","99,67","24,8","6,33","236,5","14,85",No Apto
51,Tucumán,"38,78","53,74","16,46",5,"8,3","42,98","22,22","362,6","16,5","43,88","7,7","867,32","10,35",Apto
52,San Juan,"31,01","36,45","17,12","15,43","16,5","49,12","32,45","296,94","20,93","37,14","8,11","270,93","14,78",No Apto
53,Chubut,"37,58","56,95","9,14",5,"30,11","19,63","25,44","364,22","13,29","44,6","6,57","385,23","0,92",No Apto
54,Chubut,"35,79","49,94","28,64",5,"30,96","43,24","7,89","343,04","17,41","42,14","8,17","1117,28","5,4",Apto
55,Buenos Aires (CABA),"23,92","59,9","26,25",5,"23,09","35,15","31,8","315,48","11,62","42,75","6,08","370,97","2,06",No Apto
56,Córdoba Capital,"36,87","27,54","21,73","13,86","26,83","48,17","7,44","302,56","21,06","35,64","8,28","174,57","4,3",Apto
57,Neuquén,"3,54","48,36","16,56","31,54","8,45","35,33","21,75","210,88","36,57","35,22","6,3","668,91","12,66",No Apto
58,Chubut,"7,84","30,1","15,29","46,77","22,64","39,81","11,03","191,56","62,81","30,6","7,61","479,62","0,97",No Apto
59,Salta,"1,81","33,99","21,27","42,92","25,01","34,11","31,33","175,22","55,76","30,56","6,63","1054,85","8,04",No Apto
60,Tucumán,"13,01","41,38","18,64","26,98","11,02","34,13","36,91","234,8","37,46","35,02","8,09","249,62","8,72",No Apto
61,Salta,"15,55","53,68","6,56","24,21","31,4","45,72","24,39","269,56","37,69","39,21","7,28","1515,95","8,64",Apto
62,Córdoba Capital,"10,85","59,2","17,81","12,13","10,85","40,14","23,45","261,8","21,56","39,93","6,34","1817,16","7,39",Apto
63,Chubut,"33,15","48,41","25,16",5,"14,4","40,33","31,74","329,42","10,17","41,15","7,43","1499,7","11,96",No Apto
64,Mendoza,"14,27","30,89","16,48","38,36","23,62","33,01","5,18","218,86","45,45","32,12","7,02","1089,01","2,44",No Apto
65,Tucumán,"11,24","31,07","6,3","51,4","24,15","36,24","37,12","207,1","73,19","31,57","7,65","1728,3",5,No Apto
66,Buenos Aires (CABA),"21,71","46,88","24,66","6,76","25,98","44,83","11,91","280,6","21,88","38,41","8,2","1405,09","9,43",Apto
67,Buenos Aires (CABA),"5,64","21,94","10,03","62,39","8,36","48,04","39,44","166,44","82,88","27,71","7,02","70,57","10,52",No Apto
68,Misiones,"32,09","15,52","11,47","40,92","30,48","42,86","30,77","259,4","57,78","31,07","6,72","818,48","6,36",No Apto
69,Rosario,"2,98","27,73","9,12","60,17","20,99","51,96","32,1","167,38","82,22","28,92","6,04","1709,36","13,19",No Apto
70,Chubut,"39,48","24,36","13,26","22,91","19,14","47,81","27,97","306,64","45,39","35,2","7,44","724,42","6,52",No Apto
71,Córdoba Capital,"30,89","24,82","23,92","20,38","34,43","37,47","21,51","273,2","26,62","33,62","7,01","118,67","6,34",Apto
72,Tucumán,"7,95","21,68","17,98","52,39","27,21","41,86","25,01","175,16","70,8","28,09","6,94","1505,05","1,03",No Apto
73,Rosario,"0,22","12,1","10,12","77,55","8,54","52,05","6,62","125,08","94,45","23,67","6,46","1613,97","8,49",No Apto
74,Córdoba Capital,"32,62","10,89","26,95","29,54","27,7","39,77","26,84","252,26","47,26","29,79","7,08","363,16","10,78",No Apto
75,San Juan,"28,27","59,39","26,99",5,"7,86","47,99","26,91","331,86","15,28","43,47","8,46","1097,81","2,16",No Apto
